2015 NGS-A Gene and Chromosomal Position List				Date into Voyager?	Chromosomal Location			Concatenate Result	Text Result	Date into Voyager?																																																																																																																																																																																																																																																			
ATP7A	HGNC:869	chrX 77298857	NM_000052.4	4/21/15	chrX	77298856	77298857	chrX:77298856-77298857	chrX:77298856-77298857	4/21/15																																																																																																																																																																																																																																																			
B3GALTL	HGNC:20207	chr13 31891746	NM_194318.3	4/21/15	chr13	31891745	31891746	chr13:31891745-31891746	chr13:31891745-31891746	4/21/15																																																																																																																																																																																																																																																			
BAG3	HGNC:939	chr10 121429633	NM_004281.3	4/21/15	chr10	121429632	121429633	chr10:121429632-121429633	chr10:121429632-121429633	4/21/15																																																																																																																																																																																																																																																			
BARD1	HGNC:952	chr2 215593520	NM_000465.2	4/21/15	chr2	215593519	215593520	chr2:215593519-215593520	chr2:215593519-215593520	4/21/15																																																																																																																																																																																																																																																			
BBS1	HGNC:966	chr11 66282095	NM_024649.4	4/21/15	chr11	66282094	66282095	chr11:66282094-66282095	chr11:66282094-66282095	4/21/15																																																																																																																																																																																																																																																			
BBS10	HGNC:26291	chr12 76741325	NM_024685.3	4/21/15	chr12	76741324	76741325	chr12:76741324-76741325	chr12:76741324-76741325	4/21/15																																																																																																																																																																																																																																																			
BBS12	HGNC:26648	chr4 123664204	NM_152618.2	4/21/15	chr4	123664203	123664204	chr4:123664203-123664204	chr4:123664203-123664204	4/21/15																																																																																																																																																																																																																																																			
BBS4	HGNC:969	chr15 73027478	NM_033028.3	4/21/15	chr15	73027477	73027478	chr15:73027477-73027478	chr15:73027477-73027478	4/21/15																																																																																																																																																																																																																																																			
BEST1	HGNC:12703	chr11 61730553	NM_004183.3	4/21/15	chr11	61730552	61730553	chr11:61730552-61730553	chr11:61730552-61730553	4/21/15																																																																																																																																																																																																																																																			
BRCA1	HGNC:1100	chr17 41255845	NM_007294.3	4/21/15	chr17	41255844	41255845	chr17:41255844-41255845	chr17:41255844-41255845	4/21/15																																																																																																																																																																																																																																																			
BRCA2	HGNC:1101	chr13 32906729	NM_000059.3	4/21/15	chr13	32906728	32906729	chr13:32906728-32906729	chr13:32906728-32906729	4/21/15																																																																																																																																																																																																																																																			
BRIP1	HGNC:20473	chr17 59763347	NM_032043.2	4/21/15	chr17	59763346	59763347	chr17:59763346-59763347	chr17:59763346-59763347	4/21/15																																																																																																																																																																																																																																																			
BRWD3	HGNC:17342	chrX 79943569	NM_153252.4	4/21/15	chrX	79943568	79943569	chrX:79943568-79943569	chrX:79943568-79943569	4/21/15																																																																																																																																																																																																																																																			
BUB1B	HGNC:1149	chr15 40477831	NM_001211.5	4/21/15	chr15	40477830	40477831	chr15:40477830-40477831	chr15:40477830-40477831	4/21/15																																																																																																																																																																																																																																																			
CACNA1C	HGNC:1390	chr12 2791205	NM_001167625.1	4/21/15	chr12	2791204	2791205	chr12:2791204-2791205	chr12:2791204-2791205	4/21/15																																																																																																																																																																																																																																																			
CACNA1H	HGNC:1395	chr16 1260969	NM_021098.2	4/21/15	chr16	1260968	1260969	chr16:1260968-1260969	chr16:1260968-1260969	4/21/15																																																																																																																																																																																																																																																			
CAPN3	HGNC:1480	chr15 42681199	NM_000070.2	4/21/15	chr15	42681198	42681199	chr15:42681198-42681199	chr15:42681198-42681199	4/21/15																																																																																																																																																																																																																																																			
CASKIN2	HGNC:18200	chr17 73498483	NM_020753.3	4/21/15	chr17	73498482	73498483	chr17:73498482-73498483	chr17:73498482-73498483	4/21/15																																																																																																																																																																																																																																																			
CASR	HGNC:1514	chr3 122003832	NM_000388.3	4/21/15	chr3	122003831	122003832	chr3:122003831-122003832	chr3:122003831-122003832	4/21/15																																																																																																																																																																																																																																																			
CBS	HGNC:1550	chr21 44480616	NM_000071.2	4/21/15	chr21	44480615	44480616	chr21:44480615-44480616	chr21:44480615-44480616	4/21/15																																																																																																																																																																																																																																																			
CCDC40	HGNC:26090	chr17 78064145	NM_017950.2	4/21/15	chr17	78064144	78064145	chr17:78064144-78064145	chr17:78064144-78064145	4/21/15																																																																																																																																																																																																																																																			
CCDC50	HGNC:18111	chr3 191093175	NM_178335.2	4/21/15	chr3	191093174	191093175	chr3:191093174-191093175	chr3:191093174-191093175	4/21/15																																																																																																																																																																																																																																																			
CDH23	HGNC:13733	chr10 73434888	NM_022124.5	4/21/15	chr10	73434887	73434888	chr10:73434887-73434888	chr10:73434887-73434888	4/21/15																																																																																																																																																																																																																																																			
CDH3	HGNC:1762	chr16 68719113	NM_001793.4	4/21/15	chr16	68719112	68719113	chr16:68719112-68719113	chr16:68719112-68719113	4/21/15																																																																																																																																																																																																																																																			
CEP57	HGNC:30794	chr11 95555088	NM_014679.3	4/21/15	chr11	95555087	95555088	chr11:95555087-95555088	chr11:95555087-95555088	4/21/15																																																																																																																																																																																																																																																			
CFC1	HGNC:18292	chr2 131356220	NM_032545.2	4/21/15	chr2	131356219	131356220	chr2:131356219-131356220	chr2:131356219-131356220	4/21/15																																																																																																																																																																																																																																																			
CHRNA2	HGNC:1956	chr8 27324822	NM_000742.3	4/21/15	chr8	27324821	27324822	chr8:27324821-27324822	chr8:27324821-27324822	4/21/15																																																																																																																																																																																																																																																			
CLCN2	HGNC:2020	chr3 184071063	NM_004366.4	4/21/15	chr3	184071062	184071063	chr3:184071062-184071063	chr3:184071062-184071063	4/21/15																																																																																																																																																																																																																																																			
CLN5	HGNC:2076	chr13 77574983	NM_006493.2	4/21/15	chr13	77574982	77574983	chr13:77574982-77574983	chr13:77574982-77574983	4/21/15																																																																																																																																																																																																																																																			
COG4	HGNC:18620	chr16 70548297	NM_Ol5386.2	4/21/15	chr16	70548296	70548297	chr16:70548296-70548297	chr16:70548296-70548297	4/21/15																																																																																																																																																																																																																																																			
COG5	HGNC:14857	chr7 107002806	NM_006348.3	4/21/15	chr7	107002805	107002806	chr7:107002805-107002806	chr7:107002805-107002806	4/21/15																																																																																																																																																																																																																																																			
COG6	HGNC:18621	chr13 40229891	NM_020751.2	4/21/15	chr13	40229890	40229891	chr13:40229890-40229891	chr13:40229890-40229891	4/21/15																																																																																																																																																																																																																																																			
COL11A1	HGNC:2186	chr1 103354138	NM_001854.3	4/21/15	chr1	103354137	103354138	chr1:103354137-103354138	chr1:103354137-103354138	4/21/15																																																																																																																																																																																																																																																			
COL11A2	HGNC:2187	chr6 33131501	NM_080680.2	4/21/15	chr6	33131500	33131501	chr6:33131500-33131501	chr6:33131500-33131501	4/21/15																																																																																																																																																																																																																																																			
COL3A1	HGNC:2201	chr2 189875421	NM_000090.3	4/21/15	chr2	189875420	189875421	chr2:189875420-189875421	chr2:189875420-189875421	4/21/15																																																																																																																																																																																																																																																			
COL6A1	HGNC:2211	chr21 47423389	NM_001848.2	4/21/15	chr21	47423388	47423389	chr21:47423388-47423389	chr21:47423388-47423389	4/21/15																																																																																																																																																																																																																																																			
COL6A2	HGNC:2212	chr21 47538960	NM_001849.3	4/21/15	chr21	47538959	47538960	chr21:47538959-47538960	chr21:47538959-47538960	4/21/15																																																																																																																																																																																																																																																			
COL6A3	HGNC:2213	chr2 238244963	NM_004369.3	4/21/15	chr2	238244962	238244963	chr2:238244962-238244963	chr2:238244962-238244963	4/21/15																																																																																																																																																																																																																																																			
COL9A1	HGNC:2217	chr6 70961833	NM_001851.4	4/21/15	chr6	70961832	70961833	chr6:70961832-70961833	chr6:70961832-70961833	4/21/15																																																																																																																																																																																																																																																			
COX10	HGNC:2260	chr17 13980058	NM_001303.3	4/21/15	chr17	13980057	13980058	chr17:13980057-13980058	chr17:13980057-13980058	4/21/15																																																																																																																																																																																																																																																			
COX15	HGNC:2263	chr10 101473218	NM_004376.5	4/21/15	chr10	101473217	101473218	chr10:101473217-101473218	chr10:101473217-101473218	4/21/15																																																																																																																																																																																																																																																			
CRELD1	HGNC:14630	chr3 9976159	NM_001031717.3	4/21/15	chr3	9976158	9976159	chr3:9976158-9976159	chr3:9976158-9976159	4/21/15																																																																																																																																																																																																																																																			
CTSD	HGNC:2529	chr11 1782594	NM_001909.4	4/21/15	chr11	1782593	1782594	chr11:1782593-1782594	chr11:1782593-1782594	4/21/15																																																																																																																																																																																																																																																			
CYP1B1	HGNC:2597	chr2 38302390	NM_000104.3	4/21/15	chr2	38302389	38302390	chr2:38302389-38302390	chr2:38302389-38302390	4/21/15																																																																																																																																																																																																																																																			
CYP4V2	HGNC:23198	chr4 187113041	NM_207352.3	4/21/15	chr4	187113040	187113041	chr4:187113040-187113041	chr4:187113040-187113041	4/21/15																																																																																																																																																																																																																																																			
DDOST	HGNC:2728	chr1 20987873	NM_005216.4	4/21/15	chr1	20987872	20987873	chr1:20987872-20987873	chr1:20987872-20987873	4/21/15																																																																																																																																																																																																																																																			
DFNA5	HGNC:2810	chr7 24758818	NM_004403.2	4/21/15	chr7	24758817	24758818	chr7:24758817-24758818	chr7:24758817-24758818	4/21/15																																																																																																																																																																																																																																																			
DFNB31	HGNC:16361	chr9 117188566	NM_015404.3	4/21/15	chr9	117188565	117188566	chr9:117188565-117188566	chr9:117188565-117188566	4/21/15																																																																																																																																																																																																																																																			
DHCR7	HGNC:2860	chr11 71152410	NM_001360.2	4/21/15	chr11	71152409	71152410	chr11:71152409-71152410	chr11:71152409-71152410	4/21/15																																																																																																																																																																																																																																																			
DHDDS	HGNC:20603	chr1 26784350	NM_024887.2	4/21/15	chr1	26784349	26784350	chr1:26784349-26784350	chr1:26784349-26784350	4/21/15																																																																																																																																																																																																																																																			
DLAT	HGNC:2896	chr11 111896324	NM_001931.4	4/21/15	chr11	111896323	111896324	chr11:111896323-111896324	chr11:111896323-111896324	4/21/15																																																																																																																																																																																																																																																			
DMD	HGNC:2928	chrX 31496350	NM_004006.2	4/21/15	chrX	31496349	31496350	chrX:31496349-31496350	chrX:31496349-31496350	4/21/15																																																																																																																																																																																																																																																			
DOCK8	HGNC:19191	chr9 334337	NM_203447.3	4/21/15	chr9	334336	334337	chr9:334336-334337	chr9:334336-334337	4/21/15																																																																																																																																																																																																																																																			
DPAGT1	HGNC:2995	chr11 118967758	NM_001382.3	4/21/15	chr11	118967757	118967758	chr11:118967757-118967758	chr11:118967757-118967758	4/21/15																																																																																																																																																																																																																																																			
DPP10	HGNC:20823	chr2 116510817	NM_001178034.1	4/21/15	chr2	116510816	116510817	chr2:116510816-116510817	chr2:116510816-116510817	4/21/15																																																																																																																																																																																																																																																			
DSG2	HGNC:3049	chr18 29122799	NM_001943.3	4/21/15	chr18	29122798	29122799	chr18:29122798-29122799	chr18:29122798-29122799	4/21/15																																																																																																																																																																																																																																																			
DSP	HGNC:3052	chr6 7584617	NM_004415.2	4/21/15	chr6	7584616	7584617	chr6:7584616-7584617	chr6:7584616-7584617	4/21/15																																																																																																																																																																																																																																																			
DYNC2H1	HGNC:2962	chr11 103029516	NM_001080463.1	4/21/15	chr11	103029515	103029516	chr11:103029515-103029516	chr11:103029515-103029516	4/21/15																																																																																																																																																																																																																																																			
EFEMP2	HGNC:3219	chr11 65636053	NM_016938.4	4/21/15	chr11	65636052	65636053	chr11:65636052-65636053	chr11:65636052-65636053	4/21/15																																																																																																																																																																																																																																																			
EIF2S3	HGNC:3267	chrX 24086150	NM_001415.3	4/21/15	chrX	24086149	24086150	chrX:24086149-24086150	chrX:24086149-24086150	4/21/15																																																																																																																																																																																																																																																			
ELN	HGNC:3327	chr7 73470714	NM_000501.2	4/21/15	chr7	73470713	73470714	chr7:73470713-73470714	chr7:73470713-73470714	4/21/15																																																																																																																																																																																																																																																			
ELOVL4	HGNC:14415	chr6 80626375	NM_022726.3	4/21/15	chr6	80626374	80626375	chr6:80626374-80626375	chr6:80626374-80626375	4/21/15																																																																																																																																																																																																																																																			
EP300	HGNC:3373	chr22 41551039	NM_001429.3	4/21/15	chr22	41551038	41551039	chr22:41551038-41551039	chr22:41551038-41551039	4/21/15																																																																																																																																																																																																																																																			
EPCAM	HGNC:11529	chr2 47601106	NM_002354.2	4/21/15	chr2	47601105	47601106	chr2:47601105-47601106	chr2:47601105-47601106	4/21/15																																																																																																																																																																																																																																																			
ERCC2	HGNC:3434	chr19 45854919	NM_000400.3	4/21/15	chr19	45854918	45854919	chr19:45854918-45854919	chr19:45854918-45854919	4/21/15																																																																																																																																																																																																																																																			
ERCC5	HGNC:3437	chr13 103527849	NM_000123.3	4/21/15	chr13	103527848	103527849	chr13:103527848-103527849	chr13:103527848-103527849	4/21/15																																																																																																																																																																																																																																																			
ETFB	HGNC:3482	chr19 51850290	NM_001014763.1	4/21/15	chr19	51850289	51850290	chr19:51850289-51850290	chr19:51850289-51850290	4/21/15																																																																																																																																																																																																																																																			
ETFDH	HGNC:3483	chr4 159601676	NM_004453.2	4/21/15	chr4	159601675	159601676	chr4:159601675-159601676	chr4:159601675-159601676	4/21/15																																																																																																																																																																																																																																																			
EVC	HGNC:3497	chr4 5721021	NM_153717.2	4/21/15	chr4	5721020	5721021	chr4:5721020-5721021	chr4:5721020-5721021	4/21/15																																																																																																																																																																																																																																																			
EVC2	HGNC:19747	chr4 5624670	NM_147127.4	4/21/15	chr4	5624669	5624670	chr4:5624669-5624670	chr4:5624669-5624670	4/21/15																																																																																																																																																																																																																																																			
EYA4	HGNC:3522	chr6 133789728	NM_004100.4	4/21/15	chr6	133789727	133789728	chr6:133789727-133789728	chr6:133789727-133789728	4/21/15																																																																																																																																																																																																																																																			
EYS	HGNC:21555	chr6 65016977	NM_001142800.1	4/21/15	chr6	65016976	65016977	chr6:65016976-65016977	chr6:65016976-65016977	4/21/15																																																																																																																																																																																																																																																			
FANCA	HGNC:3582	chr16 89849480	NM_000135.2	4/21/15	chr16	89849479	89849480	chr16:89849479-89849480	chr16:89849479-89849480	4/21/15																																																																																																																																																																																																																																																			
FANCI	HGNC:25568	chr15 89836228	NM_001113378.1	4/21/15	chr15	89836227	89836228	chr15:89836227-89836228	chr15:89836227-89836228	4/21/15																																																																																																																																																																																																																																																			
FBN1	HGNC:3603	chr15 48807637	NM_000138.4	4/21/15	chr15	48807636	48807637	chr15:48807636-48807637	chr15:48807636-48807637	4/21/15																																																																																																																																																																																																																																																			
FBP1	HGNC:3606	chr9 97369149	NM_000507.3	4/21/15	chr9	97369148	97369149	chr9:97369148-97369149	chr9:97369148-97369149	4/21/15																																																																																																																																																																																																																																																			
FKTN	HGNC:3622	chr9 108366734	NM_001079802.1	4/21/15	chr9	108366733	108366734	chr9:108366733-108366734	chr9:108366733-108366734	4/21/15																																																																																																																																																																																																																																																			
FLT3	HGNC:3765	chr13 28624294	NM_004119.2	4/21/15	chr13	28624293	28624294	chr13:28624293-28624294	chr13:28624293-28624294	4/21/15																																																																																																																																																																																																																																																			
FMR1NB	HGNC:26372	chrX 147088249	NM_152578.2	4/21/15	chrX	147088248	147088249	chrX:147088248-147088249	chrX:147088248-147088249	4/21/15																																																																																																																																																																																																																																																			
G6PC	HGNC:4056	chr2 169764176	NM_000151.2	4/21/15	chr2	169764175	169764176	chr2:169764175-169764176	chr2:169764175-169764176	4/21/15																																																																																																																																																																																																																																																			
GAA	HGNC:4065	chr17 78079669	NM_000152.3	4/21/15	chr17	78079668	78079669	chr17:78079668-78079669	chr17:78079668-78079669	4/21/15																																																																																																																																																																																																																																																			
GATM	HGNC:4175	chr15 45654327	NM_001482.2	4/21/15	chr15	45654326	45654327	chr15:45654326-45654327	chr15:45654326-45654327	4/21/15																																																																																																																																																																																																																																																			
GFM1	HGNC:13780	chr3 158366900	NM_024996.5	4/21/15	chr3	158366899	158366900	chr3:158366899-158366900	chr3:158366899-158366900	4/21/15																																																																																																																																																																																																																																																			
GLI2	HGNC:4318	chr2 121746956	NM_005270.4	4/21/15	chr2	121746955	121746956	chr2:121746955-121746956	chr2:121746955-121746956	4/21/15																																																																																																																																																																																																																																																			
GRIA3	HGNC:4573	chrX 122336601	NM_000828.4	4/21/15	chrX	122336600	122336601	chrX:122336600-122336601	chrX:122336600-122336601	4/21/15																																																																																																																																																																																																																																																			
GRM6	HGNC:4598	chr5 178415937	NM_000843.3	4/21/15	chr5	178415936	178415937	chr5:178415936-178415937	chr5:178415936-178415937	4/21/15																																																																																																																																																																																																																																																			
GRXCR1	HGNC:31673	chr4 42895423	NM_001080476.2	4/21/15	chr4	42895422	42895423	chr4:42895422-42895423	chr4:42895422-42895423	4/21/15																																																																																																																																																																																																																																																			
HPS4	HGNC:15844	chr22 26853905	NM_152841.2	4/21/15	chr22	26853904	26853905	chr22:26853904-26853905	chr22:26853904-26853905	4/21/15																																																																																																																																																																																																																																																			
HUWE1	HGNC:30892	chrX 53654402	NM_031407.4	4/21/15	chrX	53654401	53654402	chrX:53654401-53654402	chrX:53654401-53654402	4/21/15																																																																																																																																																																																																																																																			
ITGA7	HGNC:6143	chr12 56089357	NM_002206.2	4/21/15	chr12	56089356	56089357	chr12:56089356-56089357	chr12:56089356-56089357	4/21/15																																																																																																																																																																																																																																																			
JPH2	HGNC:14202	chr20 42747247	NM_020433.4	4/21/15	chr20	42747246	42747247	chr20:42747246-42747247	chr20:42747246-42747247	4/21/15																																																																																																																																																																																																																																																			
JUP	HGNC:6207	chr17 39925713	NM_002230.2	4/21/15	chr17	39925712	39925713	chr17:39925712-39925713	chr17:39925712-39925713	4/21/15																																																																																																																																																																																																																																																			
KCNE2	HGNC:6242	chr21 35742960	NM_172201.1	4/21/15	chr21	35742959	35742960	chr21:35742959-35742960	chr21:35742959-35742960	4/21/15																																																																																																																																																																																																																																																			
KCNH2	HGNC:6251	chr7 150648198	NM_000238.3	4/21/15	chr7	150648197	150648198	chr7:150648197-150648198	chr7:150648197-150648198	4/21/15																																																																																																																																																																																																																																																			
KCNQ4	HGNC:6298	chr1 41285591	NM_004700.3	4/21/15	chr1	41285590	41285591	chr1:41285590-41285591	chr1:41285590-41285591	4/21/15																																																																																																																																																																																																																																																			
KIF7	HGNC:30497	chr15 90196008	NM_198525.2	4/21/15	chr15	90196007	90196008	chr15:90196007-90196008	chr15:90196007-90196008	4/21/15																																																																																																																																																																																																																																																			
KIRREL3	HGNC:23204	chr11 126343227	NM_032531.3	4/21/15	chr11	126343226	126343227	chr11:126343226-126343227	chr11:126343226-126343227	4/21/15																																																																																																																																																																																																																																																			
LAMA2	HGNC:6482	chr6 129635800	NM_000426.3	4/21/15	chr6	129635799	129635800	chr6:129635799-129635800	chr6:129635799-129635800	4/21/15																																																																																																																																																																																																																																																			
LAMA4	HGNC:6484	chr6 112493872	NM_001105206.2	4/21/15	chr6	112493871	112493872	chr6:112493871-112493872	chr6:112493871-112493872	4/21/15																																																																																																																																																																																																																																																			
LCA5	HGNC:31923	chr6 80196848	NM_181714.3	4/21/15	chr6	80196847	80196848	chr6:80196847-80196848	chr6:80196847-80196848	4/21/15																																																																																																																																																																																																																																																			
LEFTY2	HGNC:3122	chr1 226125468	NM_003240.3	4/21/15	chr1	226125467	226125468	chr1:226125467-226125468	chr1:226125467-226125468	4/21/15																																																																																																																																																																																																																																																			
